step 0, batch loss 1.868, 0.01 iters/s
step 67, batch loss 2.309, 1.74 iters/s
step 68, batch loss 2.07, 1.74 iters/s
step 69, batch loss 2.137, 1.74 iters/s
step 70, batch loss 2.381, 1.74 iters/s
step 71, batch loss 2.452, 1.74 iters/s
step 72, batch loss 2.155, 1.74 iters/s
step 73, batch loss 2.219, 1.74 iters/s
step 74, batch loss 1.868, 1.74 iters/s
step 75, batch loss 1.841, 1.74 iters/s
step 76, batch loss 2.178, 1.74 iters/s
step 77, batch loss 1.806, 1.74 iters/s
step 78, batch loss 2.023, 1.74 iters/s
step 79, batch loss 2.321, 1.74 iters/s
step 80, batch loss 2.367, 1.74 iters/s
step 81, batch loss 2.329, 1.74 iters/s
step 82, batch loss 2.382, 1.74 iters/s
step 83, batch loss 2.166, 1.74 iters/s
step 84, batch loss 2.112, 1.74 iters/s
step 85, batch loss 2.365, 1.74 iters/s
step 86, batch loss 2.446, 1.74 iters/s
step 87, batch loss 2.288, 1.75 iters/s
step 88, batch loss 2.525, 1.75 iters/s
step 89, batch loss 1.84, 1.74 iters/s
step 90, batch loss 2.122, 1.75 iters/s
step 91, batch loss 2.395, 1.74 iters/s
step 92, batch loss 2.139, 1.74 iters/s
step 93, batch loss 2.231, 1.74 iters/s
step 94, batch loss 2.221, 1.74 iters/s
step 95, batch loss 2.2, 1.74 iters/s
step 96, batch loss 2.463, 1.74 iters/s
step 97, batch loss 2.306, 1.74 iters/s
step 98, batch loss 2.16, 1.75 iters/s
step 99, batch loss 2.291, 1.74 iters/s
step 100, batch loss 2.255, 1.74 iters/s
step 101, batch loss 2.311, 1.74 iters/s
step 102, batch loss 2.138, 1.74 iters/s
step 103, batch loss 1.741, 1.74 iters/s
step 104, batch loss 2.256, 1.74 iters/s
step 105, batch loss 2.164, 1.74 iters/s
step 106, batch loss 1.763, 1.74 iters/s
step 107, batch loss 2.168, 1.74 iters/s
step 108, batch loss 2.361, 1.74 iters/s
step 109, batch loss 2.369, 1.74 iters/s
step 110, batch loss 2.235, 1.74 iters/s
step 111, batch loss 2.249, 1.74 iters/s
step 112, batch loss 2.187, 1.74 iters/s
step 113, batch loss 2.343, 1.75 iters/s
step 114, batch loss 2.206, 1.74 iters/s
step 115, batch loss 1.996, 1.74 iters/s
step 116, batch loss 1.768, 1.74 iters/s
step 117, batch loss 2.143, 1.75 iters/s
step 118, batch loss 1.974, 1.74 iters/s
step 119, batch loss 2.231, 1.74 iters/s
step 120, batch loss 2.297, 1.75 iters/s
step 121, batch loss 2.042, 1.74 iters/s
step 122, batch loss 1.899, 1.74 iters/s
step 123, batch loss 2.25, 1.75 iters/s
step 124, batch loss 2.156, 1.75 iters/s
step 125, batch loss 1.782, 1.74 iters/s
step 126, batch loss 2.155, 1.75 iters/s
step 127, batch loss 3.0, 1.74 iters/s
step 128, batch loss 2.15, 1.74 iters/s
step 129, batch loss 2.475, 1.75 iters/s
step 130, batch loss 1.951, 1.74 iters/s
step 131, batch loss 2.426, 1.74 iters/s
step 132, batch loss 1.936, 1.74 iters/s
step 133, batch loss 2.119, 1.74 iters/s
step 134, batch loss 2.342, 1.74 iters/s
step 135, batch loss 2.408, 1.75 iters/s
step 136, batch loss 1.924, 1.74 iters/s
step 137, batch loss 2.311, 1.74 iters/s
step 138, batch loss 2.211, 1.74 iters/s
step 139, batch loss 2.41, 1.74 iters/s
step 140, batch loss 2.314, 1.75 iters/s
step 141, batch loss 2.726, 1.75 iters/s
step 142, batch loss 2.263, 1.74 iters/s
step 143, batch loss 2.062, 1.74 iters/s
step 144, batch loss 2.251, 1.74 iters/s
step 145, batch loss 2.112, 1.74 iters/s
step 146, batch loss 1.957, 1.74 iters/s
step 147, batch loss 2.107, 1.74 iters/s
step 148, batch loss 2.461, 1.75 iters/s
step 149, batch loss 2.516, 1.74 iters/s
step 150, batch loss 2.276, 1.74 iters/s
step 151, batch loss 2.344, 1.74 iters/s
step 152, batch loss 2.153, 1.74 iters/s
step 153, batch loss 2.353, 1.74 iters/s
step 154, batch loss 2.362, 1.74 iters/s
step 155, batch loss 2.178, 1.74 iters/s
step 156, batch loss 1.914, 1.74 iters/s
step 157, batch loss 2.236, 1.75 iters/s
step 158, batch loss 2.639, 1.74 iters/s
step 159, batch loss 2.008, 1.75 iters/s
step 160, batch loss 2.393, 1.75 iters/s
step 161, batch loss 2.236, 1.74 iters/s
step 162, batch loss 2.189, 1.75 iters/s
step 163, batch loss 2.034, 1.74 iters/s
step 164, batch loss 2.075, 1.74 iters/s
step 165, batch loss 2.591, 1.74 iters/s
step 166, batch loss 2.208, 1.75 iters/s
step 167, batch loss 2.404, 1.75 iters/s
step 168, batch loss 2.197, 1.74 iters/s
step 169, batch loss 2.301, 1.74 iters/s
step 170, batch loss 2.073, 1.74 iters/s
step 171, batch loss 2.184, 1.75 iters/s
step 172, batch loss 2.701, 1.74 iters/s
step 173, batch loss 2.149, 1.75 iters/s
step 174, batch loss 2.343, 1.74 iters/s
step 175, batch loss 2.329, 1.74 iters/s
step 176, batch loss 2.366, 1.74 iters/s
step 177, batch loss 2.448, 1.74 iters/s
step 178, batch loss 2.291, 1.74 iters/s
step 179, batch loss 2.405, 1.74 iters/s
step 180, batch loss 2.223, 1.74 iters/s
step 181, batch loss 2.117, 1.74 iters/s
step 182, batch loss 2.087, 1.74 iters/s
step 183, batch loss 2.586, 1.74 iters/s
step 184, batch loss 2.136, 1.75 iters/s
step 185, batch loss 2.104, 1.74 iters/s
step 186, batch loss 2.15, 1.75 iters/s
step 187, batch loss 2.114, 1.74 iters/s
step 188, batch loss 2.154, 1.75 iters/s
step 189, batch loss 2.36, 1.74 iters/s
step 190, batch loss 2.344, 1.74 iters/s
step 191, batch loss 2.151, 1.74 iters/s
step 192, batch loss 2.525, 1.74 iters/s
step 193, batch loss 2.206, 1.74 iters/s
step 194, batch loss 2.117, 1.74 iters/s
step 195, batch loss 2.171, 1.74 iters/s
step 196, batch loss 2.259, 1.74 iters/s
step 197, batch loss 3.041, 1.74 iters/s
step 198, batch loss 2.342, 1.74 iters/s
step 199, batch loss 2.554, 1.74 iters/s
step 200, batch loss 2.051, 1.74 iters/s
step 201, batch loss 1.873, 1.74 iters/s
step 202, batch loss 2.208, 1.74 iters/s
step 203, batch loss 2.002, 1.74 iters/s
step 204, batch loss 2.112, 1.74 iters/s
step 205, batch loss 2.12, 1.74 iters/s
step 206, batch loss 1.985, 1.74 iters/s
step 207, batch loss 2.063, 1.74 iters/s
step 208, batch loss 2.249, 1.74 iters/s
step 209, batch loss 2.149, 1.74 iters/s
step 210, batch loss 2.486, 1.74 iters/s
step 211, batch loss 1.734, 1.75 iters/s
step 212, batch loss 2.205, 1.74 iters/s
step 213, batch loss 2.515, 1.74 iters/s
step 214, batch loss 2.466, 1.74 iters/s
step 215, batch loss 2.054, 1.74 iters/s
step 216, batch loss 2.233, 1.74 iters/s
step 217, batch loss 2.07, 1.74 iters/s
step 218, batch loss 2.095, 1.74 iters/s
step 219, batch loss 1.938, 1.74 iters/s
step 220, batch loss 2.226, 1.74 iters/s
step 221, batch loss 2.097, 1.74 iters/s
step 222, batch loss 2.13, 1.74 iters/s
step 223, batch loss 2.524, 1.74 iters/s
step 224, batch loss 2.211, 1.74 iters/s
step 225, batch loss 2.637, 1.74 iters/s
step 226, batch loss 1.597, 1.74 iters/s
step 227, batch loss 2.142, 1.74 iters/s
step 228, batch loss 2.019, 1.74 iters/s
step 229, batch loss 2.411, 1.74 iters/s
step 230, batch loss 1.985, 1.74 iters/s
step 231, batch loss 2.39, 1.74 iters/s
step 232, batch loss 1.872, 1.74 iters/s
step 233, batch loss 1.851, 1.74 iters/s
step 234, batch loss 1.858, 1.75 iters/s
step 235, batch loss 2.13, 1.74 iters/s
step 236, batch loss 2.025, 1.74 iters/s
step 237, batch loss 2.055, 1.74 iters/s
step 238, batch loss 2.544, 1.74 iters/s
step 239, batch loss 2.446, 1.74 iters/s
step 240, batch loss 2.133, 1.74 iters/s
step 241, batch loss 2.07, 1.74 iters/s
step 242, batch loss 2.07, 1.74 iters/s
step 243, batch loss 2.142, 1.74 iters/s
step 244, batch loss 2.145, 1.74 iters/s
step 245, batch loss 2.096, 1.74 iters/s
step 246, batch loss 1.423, 1.74 iters/s
step 247, batch loss 2.304, 1.74 iters/s
step 248, batch loss 2.066, 1.74 iters/s
step 249, batch loss 2.035, 1.74 iters/s
step 250, batch loss 2.395, 1.74 iters/s
step 251, batch loss 2.19, 1.74 iters/s
step 252, batch loss 2.085, 1.74 iters/s
step 253, batch loss 2.275, 1.74 iters/s
step 254, batch loss 2.45, 1.74 iters/s
step 255, batch loss 2.095, 1.74 iters/s
step 256, batch loss 2.294, 1.74 iters/s
step 257, batch loss 2.132, 1.74 iters/s
step 258, batch loss 2.11, 1.74 iters/s
step 259, batch loss 2.212, 1.74 iters/s
step 260, batch loss 2.598, 1.74 iters/s
step 261, batch loss 1.958, 1.75 iters/s
step 262, batch loss 2.213, 1.74 iters/s
step 263, batch loss 2.302, 1.74 iters/s
step 264, batch loss 2.164, 1.74 iters/s
step 265, batch loss 2.269, 1.74 iters/s
step 266, batch loss 2.054, 1.75 iters/s
step 267, batch loss 2.126, 1.74 iters/s
step 268, batch loss 2.543, 1.74 iters/s
step 269, batch loss 2.112, 1.74 iters/s
step 270, batch loss 2.062, 1.74 iters/s
step 271, batch loss 2.13, 1.74 iters/s
step 272, batch loss 2.212, 1.74 iters/s
step 273, batch loss 2.151, 1.74 iters/s
step 274, batch loss 2.061, 1.74 iters/s
step 275, batch loss 2.315, 1.74 iters/s
step 276, batch loss 2.103, 1.74 iters/s
step 277, batch loss 2.747, 1.74 iters/s
step 278, batch loss 2.078, 1.74 iters/s
step 279, batch loss 2.15, 1.74 iters/s
step 280, batch loss 2.055, 1.74 iters/s
step 281, batch loss 2.033, 1.74 iters/s
step 282, batch loss 2.393, 1.74 iters/s
step 283, batch loss 2.13, 1.74 iters/s
step 284, batch loss 2.254, 1.74 iters/s
step 285, batch loss 2.37, 1.74 iters/s
step 286, batch loss 1.548, 1.74 iters/s
step 287, batch loss 1.855, 1.74 iters/s
step 288, batch loss 2.241, 1.74 iters/s
step 289, batch loss 2.157, 1.74 iters/s
step 290, batch loss 2.008, 1.74 iters/s
step 291, batch loss 2.254, 1.74 iters/s
step 292, batch loss 2.274, 1.74 iters/s
step 293, batch loss 2.094, 1.74 iters/s
step 294, batch loss 2.115, 1.74 iters/s
step 295, batch loss 2.22, 1.74 iters/s
step 296, batch loss 2.164, 1.74 iters/s
step 297, batch loss 2.628, 1.74 iters/s
step 298, batch loss 2.141, 1.75 iters/s
step 299, batch loss 2.076, 1.74 iters/s
step 300, batch loss 2.089, 1.74 iters/s
step 301, batch loss 2.209, 1.74 iters/s
step 302, batch loss 2.651, 1.74 iters/s
step 303, batch loss 1.857, 1.74 iters/s
step 304, batch loss 2.363, 1.74 iters/s
step 305, batch loss 2.485, 1.74 iters/s
step 306, batch loss 2.17, 1.74 iters/s
step 307, batch loss 2.105, 1.74 iters/s
step 308, batch loss 2.01, 1.74 iters/s
step 309, batch loss 1.977, 1.74 iters/s
step 310, batch loss 2.231, 1.74 iters/s
step 311, batch loss 2.379, 1.74 iters/s
step 312, batch loss 2.123, 1.74 iters/s
step 313, batch loss 1.984, 1.74 iters/s
step 314, batch loss 1.998, 1.75 iters/s
step 315, batch loss 1.977, 1.74 iters/s
step 316, batch loss 2.006, 1.74 iters/s
step 317, batch loss 2.243, 1.74 iters/s
step 318, batch loss 2.472, 1.74 iters/s
step 319, batch loss 2.228, 1.75 iters/s
step 320, batch loss 1.888, 1.74 iters/s
step 321, batch loss 2.073, 1.75 iters/s
step 322, batch loss 2.657, 1.74 iters/s
step 323, batch loss 1.842, 1.75 iters/s
step 324, batch loss 2.408, 1.74 iters/s
step 325, batch loss 2.104, 1.75 iters/s
step 326, batch loss 2.236, 1.74 iters/s
step 327, batch loss 2.052, 1.74 iters/s
step 328, batch loss 2.418, 1.74 iters/s
step 329, batch loss 2.423, 1.74 iters/s
step 330, batch loss 2.431, 1.74 iters/s
step 331, batch loss 2.495, 1.74 iters/s
step 332, batch loss 2.181, 1.74 iters/s
step 333, batch loss 2.809, 1.74 iters/s
step 334, batch loss 2.17, 1.74 iters/s
step 335, batch loss 2.26, 1.75 iters/s
step 336, batch loss 2.474, 1.74 iters/s
step 337, batch loss 2.048, 1.74 iters/s
step 338, batch loss 2.241, 1.74 iters/s
step 339, batch loss 2.04, 1.74 iters/s
step 340, batch loss 2.311, 1.74 iters/s
step 341, batch loss 2.305, 1.74 iters/s
step 342, batch loss 2.553, 1.74 iters/s
step 343, batch loss 2.176, 1.74 iters/s
step 344, batch loss 2.775, 1.74 iters/s
step 345, batch loss 2.26, 1.74 iters/s
step 346, batch loss 2.166, 1.74 iters/s
step 347, batch loss 1.92, 1.74 iters/s
step 348, batch loss 2.311, 1.74 iters/s
step 349, batch loss 2.017, 1.74 iters/s
step 350, batch loss 2.221, 1.74 iters/s
step 351, batch loss 2.063, 1.74 iters/s
step 352, batch loss 1.918, 1.74 iters/s
step 353, batch loss 1.963, 1.74 iters/s
step 354, batch loss 1.943, 1.74 iters/s
step 355, batch loss 2.422, 1.74 iters/s
step 356, batch loss 2.51, 1.74 iters/s
step 357, batch loss 1.966, 1.74 iters/s
step 358, batch loss 2.1, 1.74 iters/s
step 359, batch loss 2.012, 1.75 iters/s
step 360, batch loss 2.419, 1.74 iters/s
step 361, batch loss 2.194, 1.74 iters/s
step 362, batch loss 2.229, 1.74 iters/s
step 363, batch loss 2.328, 1.74 iters/s
step 364, batch loss 2.285, 1.74 iters/s
step 365, batch loss 2.623, 1.74 iters/s
step 366, batch loss 2.309, 1.74 iters/s
step 367, batch loss 2.145, 1.74 iters/s
step 368, batch loss 2.173, 1.74 iters/s
step 369, batch loss 2.205, 1.74 iters/s
step 370, batch loss 2.231, 1.74 iters/s
step 371, batch loss 2.478, 1.74 iters/s
step 372, batch loss 1.826, 1.74 iters/s
step 373, batch loss 2.54, 1.75 iters/s
step 374, batch loss 2.264, 1.74 iters/s
step 375, batch loss 2.511, 1.74 iters/s
step 376, batch loss 1.947, 1.74 iters/s
step 377, batch loss 2.016, 1.74 iters/s
step 378, batch loss 2.281, 1.74 iters/s
step 379, batch loss 2.371, 1.74 iters/s
step 380, batch loss 2.19, 1.74 iters/s
step 381, batch loss 2.1, 1.74 iters/s
step 382, batch loss 2.156, 1.74 iters/s
step 383, batch loss 2.35, 1.74 iters/s
step 384, batch loss 2.426, 1.75 iters/s
step 385, batch loss 2.146, 1.74 iters/s
step 386, batch loss 1.917, 1.74 iters/s
step 387, batch loss 2.122, 1.74 iters/s
step 388, batch loss 2.211, 1.74 iters/s
step 389, batch loss 2.088, 1.74 iters/s
step 390, batch loss 2.067, 1.74 iters/s
step 391, batch loss 1.946, 1.74 iters/s
step 392, batch loss 2.092, 1.74 iters/s
step 393, batch loss 1.867, 1.74 iters/s
step 394, batch loss 1.724, 1.74 iters/s
step 395, batch loss 2.177, 1.74 iters/s
step 396, batch loss 1.921, 1.74 iters/s
step 397, batch loss 2.414, 1.74 iters/s
step 398, batch loss 2.112, 1.74 iters/s
step 399, batch loss 2.141, 1.74 iters/s
step 400, batch loss 2.08, 1.74 iters/s
step 401, batch loss 2.291, 1.75 iters/s
step 402, batch loss 2.35, 1.75 iters/s
step 403, batch loss 2.331, 1.74 iters/s
step 404, batch loss 1.92, 1.74 iters/s
step 405, batch loss 2.039, 1.74 iters/s
step 406, batch loss 2.043, 1.74 iters/s
step 407, batch loss 2.279, 1.75 iters/s
step 408, batch loss 2.222, 1.74 iters/s
step 409, batch loss 2.037, 1.74 iters/s
step 410, batch loss 2.383, 1.74 iters/s
step 411, batch loss 2.099, 1.74 iters/s
step 412, batch loss 2.556, 1.74 iters/s
step 413, batch loss 2.54, 1.74 iters/s
step 414, batch loss 2.594, 1.74 iters/s
step 415, batch loss 2.169, 1.74 iters/s
step 416, batch loss 2.475, 1.75 iters/s
step 417, batch loss 2.368, 1.74 iters/s
step 418, batch loss 2.337, 1.74 iters/s
step 419, batch loss 2.119, 1.74 iters/s
step 420, batch loss 2.226, 1.74 iters/s
step 421, batch loss 1.752, 1.74 iters/s
step 422, batch loss 1.872, 1.74 iters/s
step 423, batch loss 2.097, 1.74 iters/s
step 424, batch loss 2.093, 1.74 iters/s
step 425, batch loss 1.97, 1.74 iters/s
step 426, batch loss 2.288, 1.75 iters/s
step 427, batch loss 2.187, 1.74 iters/s
step 428, batch loss 1.96, 1.74 iters/s
step 429, batch loss 2.028, 1.75 iters/s
step 430, batch loss 2.162, 1.74 iters/s
step 431, batch loss 2.218, 1.74 iters/s
step 432, batch loss 2.126, 1.74 iters/s
step 433, batch loss 1.852, 1.74 iters/s
step 434, batch loss 2.084, 1.75 iters/s
step 435, batch loss 1.877, 1.74 iters/s
step 436, batch loss 1.66, 1.74 iters/s
step 437, batch loss 2.268, 1.74 iters/s
step 438, batch loss 2.256, 1.74 iters/s
step 439, batch loss 2.282, 1.74 iters/s
step 440, batch loss 2.199, 1.74 iters/s
step 441, batch loss 2.154, 1.74 iters/s
step 442, batch loss 2.589, 1.74 iters/s
step 443, batch loss 2.066, 1.75 iters/s
step 444, batch loss 2.129, 1.74 iters/s
step 445, batch loss 2.152, 1.74 iters/s
step 446, batch loss 1.982, 1.74 iters/s
step 447, batch loss 2.184, 1.74 iters/s
step 448, batch loss 2.522, 1.74 iters/s
step 449, batch loss 2.482, 1.74 iters/s
step 450, batch loss 2.142, 1.74 iters/s
step 451, batch loss 2.026, 1.74 iters/s
step 452, batch loss 2.375, 1.74 iters/s
step 453, batch loss 1.908, 1.74 iters/s
step 454, batch loss 2.732, 1.75 iters/s
step 455, batch loss 2.357, 1.74 iters/s
step 456, batch loss 2.339, 1.74 iters/s
step 457, batch loss 1.889, 1.74 iters/s
step 458, batch loss 2.128, 1.74 iters/s
step 459, batch loss 2.229, 1.75 iters/s
step 460, batch loss 2.391, 1.74 iters/s
step 461, batch loss 2.111, 1.74 iters/s
step 462, batch loss 2.211, 1.74 iters/s
step 463, batch loss 2.119, 1.74 iters/s
step 464, batch loss 2.351, 1.74 iters/s
step 465, batch loss 1.694, 1.74 iters/s
step 466, batch loss 2.451, 1.74 iters/s
step 467, batch loss 2.151, 1.75 iters/s
step 468, batch loss 2.076, 1.74 iters/s
step 469, batch loss 1.881, 1.74 iters/s
step 470, batch loss 2.097, 1.75 iters/s
step 471, batch loss 1.828, 1.74 iters/s
step 472, batch loss 2.163, 1.74 iters/s
step 473, batch loss 2.431, 1.74 iters/s
step 474, batch loss 2.161, 1.74 iters/s
step 475, batch loss 2.32, 1.75 iters/s
step 476, batch loss 2.302, 1.74 iters/s
step 477, batch loss 1.927, 1.75 iters/s
step 478, batch loss 2.503, 1.74 iters/s
step 479, batch loss 2.04, 1.74 iters/s
step 480, batch loss 1.948, 1.74 iters/s
step 481, batch loss 1.883, 1.75 iters/s
step 482, batch loss 2.144, 1.74 iters/s
step 483, batch loss 2.166, 1.74 iters/s
step 484, batch loss 1.791, 1.74 iters/s
step 485, batch loss 2.629, 1.74 iters/s
step 486, batch loss 2.158, 1.74 iters/s
step 487, batch loss 2.443, 1.74 iters/s
step 488, batch loss 2.08, 1.74 iters/s
step 489, batch loss 2.064, 1.74 iters/s
step 490, batch loss 2.502, 1.74 iters/s
step 491, batch loss 3.101, 1.74 iters/s
step 492, batch loss 2.533, 1.73 iters/s
step 493, batch loss 2.192, 1.74 iters/s
step 494, batch loss 2.282, 1.74 iters/s
step 495, batch loss 2.364, 1.74 iters/s
step 496, batch loss 2.089, 1.74 iters/s
step 497, batch loss 2.04, 1.75 iters/s
step 498, batch loss 1.724, 1.74 iters/s
step 499, batch loss 1.947, 1.74 iters/s
step 500, batch loss 2.166, 1.74 iters/s
step 501, batch loss 2.614, 1.74 iters/s
step 502, batch loss 2.064, 1.75 iters/s
step 503, batch loss 1.977, 1.75 iters/s
step 504, batch loss 2.149, 1.74 iters/s
step 505, batch loss 1.979, 1.74 iters/s
step 506, batch loss 2.344, 1.74 iters/s
step 507, batch loss 2.137, 1.74 iters/s
step 508, batch loss 2.204, 1.74 iters/s
step 509, batch loss 2.172, 1.74 iters/s
step 510, batch loss 2.185, 1.74 iters/s
step 511, batch loss 2.669, 1.74 iters/s
step 512, batch loss 2.042, 1.74 iters/s
step 513, batch loss 2.426, 1.74 iters/s
step 514, batch loss 2.298, 1.74 iters/s
step 515, batch loss 1.983, 1.75 iters/s
step 516, batch loss 1.944, 1.74 iters/s
step 517, batch loss 2.194, 1.74 iters/s
step 518, batch loss 2.287, 1.74 iters/s
step 519, batch loss 2.268, 1.74 iters/s
step 520, batch loss 1.97, 1.74 iters/s
step 521, batch loss 2.106, 1.74 iters/s
step 522, batch loss 2.117, 1.75 iters/s
step 523, batch loss 2.347, 1.74 iters/s
step 524, batch loss 1.982, 1.74 iters/s
step 525, batch loss 2.337, 1.74 iters/s
step 526, batch loss 2.526, 1.75 iters/s
step 527, batch loss 2.232, 1.74 iters/s
step 528, batch loss 2.701, 1.74 iters/s
step 529, batch loss 2.115, 1.74 iters/s
step 530, batch loss 2.148, 1.74 iters/s
step 531, batch loss 2.383, 1.74 iters/s
step 532, batch loss 2.348, 1.74 iters/s
step 533, batch loss 2.455, 1.74 iters/s
step 534, batch loss 2.208, 1.74 iters/s
step 535, batch loss 2.088, 1.74 iters/s
step 536, batch loss 2.047, 1.74 iters/s
step 537, batch loss 2.196, 1.74 iters/s
step 538, batch loss 2.874, 1.74 iters/s
step 539, batch loss 2.254, 1.74 iters/s
step 540, batch loss 2.206, 1.74 iters/s
step 541, batch loss 2.128, 1.74 iters/s
step 542, batch loss 2.078, 1.74 iters/s
step 543, batch loss 2.155, 1.74 iters/s
step 544, batch loss 2.292, 1.75 iters/s
step 545, batch loss 2.226, 1.74 iters/s
step 546, batch loss 2.213, 1.74 iters/s
step 547, batch loss 2.107, 1.74 iters/s
step 548, batch loss 1.833, 1.74 iters/s
step 549, batch loss 1.942, 1.74 iters/s
step 550, batch loss 2.314, 1.75 iters/s
step 551, batch loss 2.67, 1.75 iters/s
step 552, batch loss 2.491, 1.74 iters/s
step 553, batch loss 2.235, 1.74 iters/s
step 554, batch loss 2.227, 1.74 iters/s
step 555, batch loss 2.606, 1.74 iters/s
step 556, batch loss 1.939, 1.74 iters/s
step 557, batch loss 1.95, 1.75 iters/s
step 558, batch loss 2.08, 1.75 iters/s
step 559, batch loss 2.176, 1.74 iters/s
step 560, batch loss 2.336, 1.74 iters/s
step 561, batch loss 2.002, 1.74 iters/s
step 562, batch loss 1.65, 1.74 iters/s
step 563, batch loss 2.203, 1.74 iters/s
step 564, batch loss 2.043, 1.74 iters/s
step 565, batch loss 2.126, 1.74 iters/s
step 566, batch loss 1.942, 1.74 iters/s
step 567, batch loss 2.064, 1.74 iters/s
step 568, batch loss 2.363, 1.74 iters/s
step 569, batch loss 2.311, 1.74 iters/s
step 570, batch loss 2.171, 1.74 iters/s
step 571, batch loss 2.428, 1.74 iters/s
step 572, batch loss 2.375, 1.74 iters/s
step 573, batch loss 2.234, 1.74 iters/s
step 574, batch loss 2.108, 1.75 iters/s
step 575, batch loss 2.244, 1.75 iters/s
step 576, batch loss 2.128, 1.74 iters/s
step 577, batch loss 2.357, 1.74 iters/s
step 578, batch loss 2.282, 1.74 iters/s
step 579, batch loss 2.275, 1.75 iters/s
step 580, batch loss 1.969, 1.74 iters/s
step 581, batch loss 2.476, 1.74 iters/s
step 582, batch loss 2.524, 1.74 iters/s
step 583, batch loss 2.214, 1.74 iters/s
step 584, batch loss 2.928, 1.74 iters/s
step 585, batch loss 2.289, 1.74 iters/s
step 586, batch loss 1.798, 1.74 iters/s
step 587, batch loss 3.051, 1.75 iters/s
step 588, batch loss 2.216, 1.74 iters/s
step 589, batch loss 2.277, 1.74 iters/s
step 590, batch loss 2.368, 1.74 iters/s
step 591, batch loss 2.129, 1.74 iters/s
step 592, batch loss 2.221, 1.74 iters/s
step 593, batch loss 2.095, 1.74 iters/s
step 594, batch loss 2.649, 1.75 iters/s
step 595, batch loss 2.336, 1.74 iters/s
step 596, batch loss 2.501, 1.74 iters/s
step 597, batch loss 2.326, 1.74 iters/s
step 598, batch loss 2.103, 1.74 iters/s
step 599, batch loss 2.387, 1.74 iters/s
step 600, batch loss 1.97, 1.74 iters/s
step 601, batch loss 1.709, 1.74 iters/s
step 602, batch loss 2.513, 1.75 iters/s
step 603, batch loss 2.153, 1.74 iters/s
step 604, batch loss 2.081, 1.74 iters/s
step 605, batch loss 2.053, 1.74 iters/s
step 606, batch loss 2.183, 1.74 iters/s
